,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN13966_c0_g2,33,26,28,41,17,41,17,31,25,23
TRINITY_DN14962_c0_g1,35,27,21,18,22,33,20,50,18,18
TRINITY_DN23096_c2_g44,49,45,11,30,14,49,29,15,57,17
TRINITY_DN18051_c0_g1,89,103,45,112,55,99,132,106,112,101
TRINITY_DN12440_c0_g1,123,179,127,171,99,160,180,360,180,75
TRINITY_DN21725_c0_g1,63,28,48,22,32,60,16,20,19,26
TRINITY_DN6816_c0_g1,90,85,33,75,14,79,42,37,112,25
TRINITY_DN18459_c0_g2,56.32,77,39.42,42,24.33,104,34.67,47.04,49.49,49
TRINITY_DN19038_c1_g1,325,253,130,311,214,402,129,110,275,217
TRINITY_DN22234_c2_g1,76,68,56,107,77,86,84,17,122,56
TRINITY_DN7923_c0_g1,147,165,223,241,96,191,118,21,162,151
TRINITY_DN14600_c0_g1,28,22,25,22,21,16,17,15,35,22
TRINITY_DN19277_c0_g1,162,208,97,132,69,204,140,158,244,166
TRINITY_DN15951_c0_g2,153,211,109,139,55,171,89,66,162,123
TRINITY_DN20581_c0_g7,2205,2208,1732,2106,1582,2413,1185,916,2115,1459
TRINITY_DN17611_c0_g1,82,77,88,115,78,88,73,27,96,91
TRINITY_DN22436_c3_g2,379,151,168,192,189,460,522,529,419,157
TRINITY_DN23548_c2_g6,30.9,144,118.97,39,44,39.92,48.97,51,71.65,63
TRINITY_DN23010_c3_g2,984.45,692.98,380.43,797.48,313.49,1134.58,356.76,320.12,1458.35,399.28
TRINITY_DN21920_c1_g1,88,56.08,32,77,63,130.63,53,71,23,51.38
TRINITY_DN22828_c4_g6,310,90,86.88,110,46,310,67,10,61,35
TRINITY_DN1677_c0_g1,99,15,12,27,33,89,148,119,96,34
TRINITY_DN23313_c0_g41,1257.87,1078.38,687.67,1477.33,698.36,1242.35,1475.35,91.98,2704.37,1059.98
TRINITY_DN15802_c0_g1,464,593,350,494,200,444,202,213,308,426
TRINITY_DN11787_c0_g2,76,100,63,94,52,70,107,139,153,42
TRINITY_DN18665_c0_g3,36,63,43,32,21,55,58,16,57,28
TRINITY_DN14302_c0_g1,62,68,27,47,24,70,58,136,87,48
TRINITY_DN17397_c0_g1,79,86,81,77,38,75,68,153,62,28
TRINITY_DN21006_c4_g2,132,167,125,247,126,154,195,52,209,198
TRINITY_DN23148_c1_g12,2880,1128,1465,2717,2097,3379,2970,910,1913,967
TRINITY_DN14219_c0_g2,234,174,177,266,139,276,324,173,214,257
TRINITY_DN10084_c0_g1,50,56,53,72,35,52,86,10,98,42
TRINITY_DN22933_c1_g1,208,350,228,272,274,281,339,383,405,288
TRINITY_DN14892_c0_g1,26,16,13,10,10,27,19,71,23,15
TRINITY_DN21395_c4_g1,57,102,42,40,15,58,16,36,11,27
TRINITY_DN22806_c5_g9,312,265,154,158,107,287,97,21,312,247.77
TRINITY_DN21521_c0_g1,20,19,15,10,14,28,11,12,26,23
TRINITY_DN21945_c2_g4,320.04,68.68,423.86,533.28,454.79,357.11,143.8,37,61.52,404.93
TRINITY_DN23392_c0_g1,91,101,51,88,46,96,77,178,54,66
TRINITY_DN17676_c0_g1,55,72,69,93,53,80,86,123,109,48
TRINITY_DN19172_c0_g1,674.85,1583.84,467,382,348.92,682,507,105,1235,349
TRINITY_DN18082_c1_g2,601,547,408,860,392,662,1262,1298,631,649
TRINITY_DN17565_c0_g3,176,237,144,215,80,191,200,70,323,71
TRINITY_DN19127_c1_g1,126,251,156,120,48,172,138,38,213,89
TRINITY_DN22444_c2_g2,42,17,24,18,20,49,12,33,27,35
TRINITY_DN20810_c0_g1,38,42,39,51,35,34,55,54,33,50
TRINITY_DN16555_c0_g1,463,729,239,353,153,534,397,146,888,219
TRINITY_DN21827_c0_g1,150,195,140,166,108,201,104,232,145,162
TRINITY_DN14846_c0_g1,125,125,95,165,107,131,168,101,197,132
TRINITY_DN15313_c0_g1,440,419,167,313,183,488,270,150,369,273
TRINITY_DN17833_c0_g1,26,24,37,29,12,28,38,21,38,13
TRINITY_DN22112_c0_g1,210,361,94,255,99,257,131,118,390,202
TRINITY_DN23703_c0_g1,47,65,25,12,17,49,54,44,40,15
TRINITY_DN18703_c0_g1,69,58,75,108,46,89,63,210,68,66
TRINITY_DN15646_c0_g1,74,62,45,55,36,96,72,79,85,49
TRINITY_DN13892_c0_g1,160,128,92,326,90,196,213,688,215,124
TRINITY_DN11591_c0_g1,47,91,63,63,55,61,108,113,95,68
TRINITY_DN21798_c0_g2,510,473,556,864,443,613,1257,1409,485,1304
TRINITY_DN8530_c0_g1,19,35,15,20,15,39,31,16,51,13
TRINITY_DN11676_c0_g1,15,31,23,16,21,24,31,11,32,27
TRINITY_DN18822_c0_g1,36,51.09,36,51,19,38.03,91.26,49.55,80.39,14
TRINITY_DN21206_c0_g2,202,175,147,252,107,260,451,701,271,162
