,CY_RG5,CY_RG6,CY_RG7,CY_RG8,CY_RG9,LRE_RG1,LRE_RG2,LRE_RG3,LRE_RG4,LRE_RG5
TRINITY_DN18366_c0_g1,202,193,139,193,146,187,430,583,256.74,167
TRINITY_DN20993_c0_g1,50,54,42,56,35,51,32,16,126,67
TRINITY_DN20850_c0_g1,58,55,33,55,28,55,26,11,50,37
TRINITY_DN22486_c2_g1,64,68,42,66,39,78,78,121,39,54
TRINITY_DN8721_c0_g2,193.77,200.24,164.44,254.99,168,250.57,191,61,291.37,145.46
TRINITY_DN14543_c0_g1,182,157,172,403.89,181,232,353.3,1064.34,303,183
TRINITY_DN22993_c0_g2,584,678,337,325,300,623,229,140,377,203
TRINITY_DN20529_c6_g1,123,137,80,199,111,182,124,22,84,115
TRINITY_DN9018_c0_g1,70,45,41.82,66,27,85,103.62,20.97,60.53,40
TRINITY_DN19505_c1_g2,27,38,15,34,24,29,22,42,32,22
TRINITY_DN22332_c0_g1,31,24,28,14,28,28,42,195,53,26
TRINITY_DN12761_c0_g1,207,193,148,238,144,210,206,75,298,133
TRINITY_DN22839_c1_g2,87.91,76,119,94,92,93,145.73,251,137,104.52
TRINITY_DN16565_c0_g1,21,21,13,19,19,22,34,13,36,16
TRINITY_DN7846_c0_g1,44,58,94,98,49,73,135,152,62,90
TRINITY_DN20483_c0_g3,717.96,664,403,716.97,379.99,734.94,314.97,119,713,371
TRINITY_DN14345_c0_g3,25,40,28,43,22,32,42,49,63,31
TRINITY_DN17760_c0_g1,455,500,308,372,301,489,308,63,329,390
TRINITY_DN20371_c0_g1,75,71,77,110,48,100,67,98,78,69
TRINITY_DN16874_c0_g1,22,65,20,60,22,42,40,36,70,30
TRINITY_DN18472_c0_g1,80,124,59,121,77,88,95,55,130,59
TRINITY_DN23002_c0_g1,33,52,36,27,16,41,43,253,36,35
TRINITY_DN13309_c0_g1,38,71,47,63,34,59,61,14,83,30
TRINITY_DN23068_c2_g1,222,276,98,342,92,261,243,235,537,253
TRINITY_DN23360_c2_g1,403,444,240,197,112,533,269,228,415,225
TRINITY_DN8893_c0_g1,77,51,30,44,36,67,23,10,53,60
TRINITY_DN20699_c0_g2,21,25,16,17,10,19,25,45,41,40
TRINITY_DN22136_c0_g4,468,350,222,325,156.05,574,1405,619,529,260
TRINITY_DN15416_c0_g1,41,73,63,62,52,56,46,37,102,57
TRINITY_DN17832_c0_g2,38,69,19,40,19,26,35,85,27,36.18
TRINITY_DN22247_c0_g1,230,336,151,156,103,230,103,67,240,81
TRINITY_DN18839_c1_g1,43,36,39,31,36,43,66,159,38,46
TRINITY_DN20287_c0_g2,256,240,119,180,109,283,133,66,186,164
TRINITY_DN16112_c0_g1,75,108,67,106,71,88,44,40,74,47
TRINITY_DN22617_c5_g1,75,76.77,84.91,65,50,102,26,19,47,74
TRINITY_DN23555_c3_g6,101,122,113,200,93,126,155,84,181,132
TRINITY_DN5290_c0_g1,54,56,100,142,54,73,98,113,99,72
TRINITY_DN21881_c1_g1,110,116,56,55,26,118,23,96,156,47
TRINITY_DN20983_c1_g1,36,52,46,37,27,25,77,140,63,60
TRINITY_DN16865_c0_g1,135,147,114,115,119,149,121,62,132,89
TRINITY_DN23620_c4_g11,22,16,17.95,19.99,41.99,27.85,35,21,47.03,28
TRINITY_DN23557_c2_g20,46,54,33,26,27,42,45,11,110,23
TRINITY_DN21264_c0_g1,214,155,132,129,93,240,98,34,167,193
TRINITY_DN14271_c0_g1,38,55,25,38,27,33,61,49,37,11
TRINITY_DN23308_c0_g1,59,109,31,29,29,84,41,39,112,34
TRINITY_DN20380_c2_g6,33,15,19,35,17,47,34,77,41,38
TRINITY_DN11011_c0_g2,57.37,58.02,64.01,66.2,41.66,64.39,74.69,15,70.44,58.6
TRINITY_DN19849_c0_g3,19,35,14,15,12,34,16,13,10,22
TRINITY_DN9065_c0_g1,41,37,75,72,24,38,51,59,48,55
TRINITY_DN22637_c0_g1,22990.7,16025.79,14888.23,27774.53,12871.66,25173.18,20758.22,4106.79,17844.91,21203.3
TRINITY_DN22358_c3_g5,86,154.7,70.87,70,55,90,202,41,241,15.71
TRINITY_DN18904_c0_g2,53,89,47,68,42,62,30,15,75,53
TRINITY_DN22571_c0_g8,221,173,109,188,56,224,144,45,116,207
TRINITY_DN18796_c0_g1,25,22,39,44,16,25,51,20,27,42
TRINITY_DN19302_c1_g1,190,339,195,168,136,274,202,651,182,169
TRINITY_DN22332_c2_g1,63,81,79,79,79,100,103,444,63.91,61
TRINITY_DN9200_c0_g1,37,36,17,33,18,26,39,78,39,30
TRINITY_DN22160_c0_g1,891,835,314,636,236,1053,575,866,1150,588
TRINITY_DN22644_c3_g1,50.73,65,28.98,42.95,26.61,59.96,25.17,63.92,38.6,43
TRINITY_DN21195_c2_g5,52,66,44,49,51,66,55,137,73,70
TRINITY_DN17685_c0_g1,86,91,62,56,45,79,96,291,136,52
TRINITY_DN4560_c0_g1,85,97.97,108,110,55,116,54,22,66,44
TRINITY_DN14365_c0_g1,46,34,33,30,11,28,36,88,64,26
TRINITY_DN1921_c0_g1,96,138,119,115,72,120,66,42,204,77
TRINITY_DN21440_c0_g2,128,67,36,54.19,31,139,68,73,96,157
TRINITY_DN19310_c0_g2,457.06,353,304.75,519,421,552.65,571,462,344,370
TRINITY_DN15242_c0_g1,69,94,74,124,166,126,178,177,85,60
TRINITY_DN21003_c0_g3,192,198,72,152,86,207,181,243,337,145
TRINITY_DN23754_c1_g33,14,65.8,47,23,30,21.57,51.2,202.45,32,10
TRINITY_DN19051_c1_g1,94,81,57,56,53,98,108,42,174,98
TRINITY_DN23640_c4_g21,2157,2600,1119,551,310,2500,552,1186,635,1613
TRINITY_DN20398_c0_g1,157,103,87,177,85,157,162,36,128,90
TRINITY_DN23026_c2_g2,91.07,146,32,135,75,112,82,25,53,167
TRINITY_DN21512_c0_g1,11060,21338,5998.97,10176.44,4373,11677,4926,934,23726.68,7677
TRINITY_DN22748_c1_g4,18,14,14,13,16,29,26,133,38,10
TRINITY_DN17858_c0_g1,927,1083,1459,1482,846,1096,1357,1107,1091,891
TRINITY_DN17743_c0_g3,57,77,36,46,24,65,125,23,128,74
TRINITY_DN16787_c0_g1,84,98,71,89,73,113,118,51,101,82
TRINITY_DN22985_c7_g4,376.97,218,282,313,350,373,337.89,531.35,121.75,109
TRINITY_DN15522_c0_g1,247,352,150,334,211,297,345,727,386,299
TRINITY_DN21790_c0_g3,127,121,137,256,88,175,190,58,95,127
TRINITY_DN16066_c0_g1,131,152,118,173,90,128,118,52,125,140
TRINITY_DN14607_c0_g1,43,60,47,68,42,46,35,12,87,54
TRINITY_DN17464_c0_g1,18,26,37,24,18,30,32,14,22,38
TRINITY_DN13607_c0_g1,229,141,114,348,143,246,169,171,164,181
TRINITY_DN23509_c2_g51,30.02,45.04,34.99,11.07,24.02,55.99,21,35.06,30.81,31.13
TRINITY_DN15678_c0_g1,3962,3278,3981,4444,2514,4384,5066,1770,5935,3305
TRINITY_DN20169_c1_g4,870.12,1587.3,922,790,433,1050,2857,2767.14,4337.12,1050.08
TRINITY_DN23350_c14_g3,40,104,36,26,31,44,44,18,116,40
TRINITY_DN11477_c0_g1,93,69,97,96,66,145,112,20,161,42
TRINITY_DN19994_c2_g21,67,88.56,61.77,64,53,67,57,29,37,34.53
TRINITY_DN23594_c3_g2,22,55,34,37,20,33,44,53,42,29
TRINITY_DN21139_c0_g1,327,320,159,234,145,392,139,65,190,234
TRINITY_DN20003_c0_g2,172,232,75,160,65,167,35,12,119,160
TRINITY_DN22393_c2_g1,314,370,305.81,291,325,360,307,282,357,246
TRINITY_DN23522_c2_g3,957,982.02,268,67,277,1115,428,1727,1246,685
TRINITY_DN14557_c0_g1,198,180,400,339,160,270,226,134,211,311
TRINITY_DN23082_c3_g1,1008,356,350,441,332,1250,148,232,647,1026
TRINITY_DN17887_c1_g2,189.17,194.58,178.68,173.61,131.59,246.04,189.53,327.01,171,176.5
TRINITY_DN19213_c0_g1,170,135,199,223,225,162,71,49,123,74
TRINITY_DN19248_c0_g1,49,47,40,48,15,59,23,21,41,47
TRINITY_DN18574_c1_g2,119,149,186,182,118,147,327,98,189,151
TRINITY_DN13590_c0_g1,486,3194,570,244,334,495,319,97,2454,277
TRINITY_DN16811_c0_g1,18,44,23,24,26,31,15,12,42,34
TRINITY_DN23661_c8_g7,22,15,11,13,14,41,10,25,15,15
TRINITY_DN17132_c0_g3,52.76,58.89,34.73,43,24,67.96,22.68,20.88,63.21,44.81
TRINITY_DN18417_c0_g1,54,80,50,53,33,52,46,25,75,46
TRINITY_DN22564_c0_g2,166,191,149,155,121,201,118,126,208,137
TRINITY_DN20314_c0_g1,114,230,75,133,37,188,119,272,78,99
TRINITY_DN22558_c1_g19,171,150,106,96,53,205,108,83,193,111
TRINITY_DN12318_c0_g1,42,49,25,39,13,37,42,191,75,38
TRINITY_DN21511_c1_g2,48,201,86,104,88,57,61,57,134,90
TRINITY_DN22064_c1_g2,94,152,86,88,78,87,104,32,36,63.39
TRINITY_DN18568_c1_g1,21,20,16,17,13,29,16,23,24,32
TRINITY_DN22144_c9_g1,387,434,387,295,164,420,540,1555,510,269
TRINITY_DN16290_c0_g1,80,102,27,74,57,106,44,117,60,48
TRINITY_DN14359_c0_g1,514.63,422,318.7,680,264.49,632,483,269,760,361
TRINITY_DN21602_c0_g1,15010.6,242000.62,25121.34,50709.7,2057,12505.58,10815.82,1541.91,137055.36,149.71
TRINITY_DN23575_c3_g46,24,34,38,22,17,26,24,29,43,15
TRINITY_DN21724_c1_g3,129,196,100,145,92,197,188,335,121,107
TRINITY_DN753_c0_g1,49,48,20,51,22,34,21,12,18,57
TRINITY_DN19326_c0_g3,195,121,137,179,73,263,150,111,155,255
TRINITY_DN23463_c6_g5,26,36,15,18,13,29,23,88,31,50
TRINITY_DN17006_c0_g1,60,70,36,57,46,72,51,40,74,41
TRINITY_DN22655_c0_g4,408,212,56,40,787,536,1102,1072.95,934.99,549.98
TRINITY_DN21870_c1_g7,1819,2385,2555,2738,2462,2316,3758,2152,1973,1855
TRINITY_DN21435_c0_g1,139,285,264,279,98,172,265,73,314,179
TRINITY_DN22467_c0_g1,21,58,23,32,15,28,18,14,69,25
TRINITY_DN19412_c0_g2,88,82,52,48,31,84,49,79,58,64
TRINITY_DN20762_c0_g1,155,111,100,141,134,201,75,69,88,113
TRINITY_DN15813_c0_g3,154,116,137,154,73,164,222,41,128,84
TRINITY_DN15043_c0_g1,115,78,38,81,61,96,77,96,17,112
TRINITY_DN19552_c0_g1,66,119,67,61,28,84,105,25,155,57
TRINITY_DN19010_c0_g2,92,91,96,119,42,111,67,29,87,91
TRINITY_DN22954_c0_g5,68,76,18,57,36,105,52,39,38,17
TRINITY_DN17071_c0_g1,215,188,118,219,94,249,153,72,190,172
TRINITY_DN22124_c0_g1,42,45,43,50,21,44,21,20,95,33
TRINITY_DN17921_c0_g1,538,547,510,525,606,639,375,77,419,371
TRINITY_DN14370_c0_g1,47,85,19,63,19,56,43,143,37,89
TRINITY_DN11311_c0_g3,34,73.75,57.84,68,33,26,29,11,106.86,19
TRINITY_DN22289_c0_g1,64,72,56,91,56,89,84,42,121,45
TRINITY_DN17576_c0_g1,66,129,91,121,66,82,140,187,153,55
TRINITY_DN14432_c0_g1,120,128,108,121,117,125,129,154,140,152
TRINITY_DN20559_c1_g1,169,155,100,325,157,209,183,74,220,215
TRINITY_DN13083_c0_g1,25,38,31,43,34,39,98,147,65,31
TRINITY_DN23203_c3_g2,420.18,58,301.62,80.76,415,603.78,923.97,71.01,749.05,360.71
TRINITY_DN22596_c1_g1,30,14,10,17,11,22,14,27,11,11
TRINITY_DN21292_c1_g1,179,218,265,148,137,245,252,23,174,164
TRINITY_DN21705_c6_g3,152,131,123,172,100,193,119,42,201,138
TRINITY_DN21611_c0_g1,305,262,170,244,134,358,144,46,156,242
TRINITY_DN21362_c0_g1,27,13,11,11,11,35,36,27,19,20
TRINITY_DN75348_c0_g1,101,86,67,40,39,72,52,15,80,40
TRINITY_DN22144_c6_g2,25,46,19,16,12,30,15,17,64,14
TRINITY_DN22955_c4_g2,64,105,91,139,74,83,108,33,78,102
TRINITY_DN21667_c1_g2,53,63,48,44,30,50.14,34,50,63,23
TRINITY_DN22419_c2_g1,168,227,162,218,115,214,245,229,232,233
TRINITY_DN21355_c0_g2,222,204,128,181,132,286,209,164,205,157
TRINITY_DN21940_c0_g1,43,54,26,20,22,53,28,59,52,40
TRINITY_DN6939_c0_g1,37,42,40,67,54,56,84,64,67,34
TRINITY_DN11714_c0_g1,127,334,69,85,64,159,93,53,489,111
TRINITY_DN20056_c0_g1,66,75,36,91,44,69,83,44,63,74
TRINITY_DN22396_c3_g1,83,74,100,73,45,112,86,113,36,66
TRINITY_DN79087_c0_g1,14,14,19,14,11,18,27,12,31,11
TRINITY_DN17193_c1_g2,1973,1912,1733,3225,1972,2435,4013,7051,2731,1497
TRINITY_DN3318_c0_g1,71,122,74,133,66,108,106,177,112,118
TRINITY_DN20712_c0_g1,146,168,108,168,175,214,195,388,162,116
TRINITY_DN11763_c0_g1,15,22,16,22,25,25,19,19,18,20
TRINITY_DN21485_c1_g4,2031,2843,1252,1686,1635,2063,906,338,1872,1208
TRINITY_DN23366_c1_g2,71,80,39,69,36,74,31,71,73,39
TRINITY_DN22944_c1_g1,45,62,23,57,57,53,59,16,19,26
TRINITY_DN16839_c0_g1,21,27,16,31,16,24,20,23,36,30
TRINITY_DN12873_c0_g1,54,49,38,60,38,49,54,32,121,35
TRINITY_DN23609_c6_g12,130,148,83,153,79,141,191,78,228,130
TRINITY_DN17887_c0_g2,117,134.09,173.98,250.31,110.96,127.67,279.38,1991.35,191.7,181.21
TRINITY_DN16407_c1_g1,1006,1130,811,1298,785,1238,649,457,1759,698
TRINITY_DN61445_c0_g1,38,27,44,39,29,43,36,11,42,16
TRINITY_DN11785_c0_g1,151.57,123,104.8,116,94.64,176.73,182,213,238,103.92
TRINITY_DN20644_c0_g1,84,81,55,93,43,120,90,23,155,98
TRINITY_DN9522_c0_g1,107,102,73,95,64,112,102,48,279,78
TRINITY_DN19836_c3_g2,285.92,773.32,92.85,272,104,298,156,20,733.82,192
TRINITY_DN13652_c0_g2,350.89,325.51,470.17,531.63,585.01,455.61,862.7,3290.35,514,220.52
TRINITY_DN23498_c3_g1,174,218,63,90,31,181,45,11,63,106
TRINITY_DN20587_c0_g2,34,45,53,51,39,36.96,47,93.87,65.77,23
TRINITY_DN23587_c1_g23,28.99,28,19,21.59,16,38.68,44,10,40.01,15
TRINITY_DN30205_c0_g1,128,139,173,213,180,165,251,724,267,103
TRINITY_DN12893_c0_g1,13,11,22,16,11,29,10,77,24,11
TRINITY_DN22702_c2_g1,22.7,35,19.24,30,15,42,61,57,49,37
TRINITY_DN15906_c0_g2,62,68,24,131,55,78,119,127,74,81
TRINITY_DN23715_c8_g41,102,121,53,56,35,92,29.05,16,50,65
TRINITY_DN23774_c2_g41,93,123,52,55,33,93,64,128,136,83
TRINITY_DN9718_c0_g1,316,296,288,440,222,411,390,226,651,392
TRINITY_DN23607_c4_g1,41,70,46,55,61,59,57,18,63,37
TRINITY_DN16981_c0_g2,148.48,39.91,198.53,708.96,302.79,269.89,193.99,869.81,411.7,166.26
TRINITY_DN10734_c0_g1,28,33,25,52,22,37,41,85,53,52
TRINITY_DN13360_c0_g1,373.55,362.18,573.51,790.88,348.41,525,675.52,107,567.68,430.72
TRINITY_DN21235_c0_g8,38,23,28,29,18,34,61,37,75,41
TRINITY_DN4840_c0_g1,373,811,195,372,256,569,513,46,835,346.99
TRINITY_DN20421_c0_g3,627.98,1838.58,789.64,1081,461,691.05,657,93.4,709.65,569.84
TRINITY_DN22334_c7_g2,2000,3541,1645,1271,1221,2289,1715,238,4173,855
TRINITY_DN16720_c0_g2,50,53,41,32,17,35,24,15,48,45
TRINITY_DN22346_c2_g1,107,129,36.14,57,62,93,52.22,1013,119,95.41
TRINITY_DN20024_c0_g2,68,84,50,62,51,66,73,57,65,73
TRINITY_DN22753_c5_g2,31,35,22,11,11,33,27,19,30,32
TRINITY_DN23359_c3_g14,27.22,35.37,21.47,149.45,103.49,34.08,39.93,20.74,10.81,33.25
TRINITY_DN14292_c0_g3,314,416,159,335,178,317,309,115.78,398,253
TRINITY_DN16461_c1_g1,181,355,139,188,73,216,399,64,666,297
TRINITY_DN18889_c0_g1,34,41,26,22,10,53,47,194,72,26
TRINITY_DN20374_c4_g1,95,128,88,106,37,119,139,71,121,98
TRINITY_DN7005_c0_g1,90,106,74,94,63,96,89,13,166,55
TRINITY_DN22156_c8_g2,32.59,61,37,30,16,37,22,64,40,33
TRINITY_DN20186_c0_g7,92,168,63,93,69,105,106,32,154,81
TRINITY_DN22993_c0_g1,194,163,136,116,58,218,111,113,139,125
TRINITY_DN18814_c0_g1,4451,7185,2630,4788,2597,4734,3838,714,6556,3528
TRINITY_DN20709_c2_g2,403,372,246,234,173,513,306,166,328,166
TRINITY_DN20432_c0_g1,567,242,118,43,193,581,145,146,166,71
TRINITY_DN19101_c0_g2,893,1190,1281,1311,628,1125,1328,379,1062,663
TRINITY_DN23414_c1_g22,206.23,364,215,129.07,86.48,243.57,87.99,167,187.06,122.97
TRINITY_DN18510_c0_g1,132,100,74,153,90,155,82,258,129,127
TRINITY_DN22471_c0_g4,31,27,11,17,11,31,22,19,93,17
TRINITY_DN18579_c0_g1,1177,797,768,1284,692,1465,1254,2372,763,644
TRINITY_DN21300_c1_g1,266,297,223,348,206,334,415,1166,409,272
TRINITY_DN20153_c2_g3,62,64,41,34,41,63,41,22,25,27
TRINITY_DN18968_c0_g1,163,248,287,206,128,179,267,128,176,217
TRINITY_DN21593_c4_g17,704,818,653,811,658,917,802,1177,1374,477
TRINITY_DN17705_c0_g1,107,237,96,237,79,142,178,272,484,150
TRINITY_DN20216_c0_g1,47,16,21,20,11,35,50,438,44,31
TRINITY_DN16297_c0_g2,160,242,94,166,55,198,61,304,169,205
TRINITY_DN16177_c0_g1,30,39,16,30,13,33,17,23,76,13
TRINITY_DN23140_c2_g5,54,80,70,85,44,61,89,266,113,29
TRINITY_DN18661_c0_g1,81,101,66,69,54,85,126,95,106,101
TRINITY_DN22188_c0_g1,127,153,83,170,108,170,162,429,82,208
TRINITY_DN17803_c1_g1,1756,1824,2696,2832,1877,2175,3270,8628,3277,1199
TRINITY_DN21184_c1_g2,242,246,149,265,186,284,343,66,143,240
TRINITY_DN22082_c5_g2,36,52,113,42,26,51,96,114,53,21
TRINITY_DN17737_c0_g1,62,67,50,58,48,88,57,18,106,62
TRINITY_DN13956_c0_g1,37,27,46,68,24,68,45,96,49,28
TRINITY_DN16737_c0_g1,35,29,28,37,22,44.03,47.19,18,68,20
TRINITY_DN11359_c0_g1,202,232,251,293,147,233,422,528,521,183
TRINITY_DN16719_c1_g1,66,118,73,84,95,79,147,57,114,82
TRINITY_DN13688_c0_g1,119.72,164,147,127,140,149.75,179.09,830,241.01,98.08
TRINITY_DN21132_c0_g1,732,711,448,715,472,886,316,165,458,466
TRINITY_DN16845_c0_g2,34,38,78,53,35,40,105,39,27,63
TRINITY_DN23173_c3_g8,41,19,24,37,24,43,23,14,13,11
TRINITY_DN23081_c2_g2,2413,2050,1052,2274,816,3001,3459,442,2433,2054
TRINITY_DN12546_c0_g1,51,49,50,85,47,52,68,142,88,43
TRINITY_DN15187_c0_g4,3259.48,4591.7,1201.54,2111.73,1574.32,4030.92,3125.01,692,7445.81,2967.71
TRINITY_DN18420_c0_g2,51,68,42,53,31,40,96,10,127,44
TRINITY_DN21856_c4_g2,132.79,162,52.79,75,29,138.91,68.03,39.72,125.21,115.59
TRINITY_DN21872_c1_g3,27,44,41,44,26,46,39,10,37,30
TRINITY_DN23135_c1_g3,109,116,39,40,48,106,45,25,49,48
TRINITY_DN9412_c0_g1,156,236,184,317,189,211,211,59,329,141
TRINITY_DN20919_c1_g1,58,93,78,115,25,62,49,16,58,108
TRINITY_DN19607_c1_g1,39.41,55,29,32.66,22.96,39.18,32.46,17,16.05,36.18
TRINITY_DN13209_c0_g1,42,56,47,47,20,57,53,32,59,42
TRINITY_DN19352_c0_g1,170,230,164,179,155,194,196,218,328,124
TRINITY_DN18708_c1_g2,488.64,1345.31,517.99,632.94,322.09,657,834.21,699,1325.84,651.57
TRINITY_DN21147_c3_g5,25,18,32,17,10,15,24,12,10,10
TRINITY_DN18028_c0_g1,107,146,62,78,44,87,45,45,100,94
TRINITY_DN20016_c0_g2,53.7,32.13,22.88,56.77,10.16,44.18,43.39,97.29,45.38,71.14
TRINITY_DN16510_c0_g1,72,138,63,87,62,86,90,122,249,64
TRINITY_DN15468_c0_g1,90,65,91,168,32,110,154,37,112,64
TRINITY_DN21358_c0_g1,30,42,21,45,19,42,34,37,50,23
TRINITY_DN22887_c0_g2,1000,867,253,170,129,895,371,128,945,142
TRINITY_DN22661_c4_g1,48,90,39.73,45.63,46.73,72.99,35,42.48,49,56.1
TRINITY_DN18840_c0_g1,85,64,133,164,70,119,132,27,54,103
TRINITY_DN22814_c4_g1,248,276,191,242,111,273,248,101,193,198
TRINITY_DN16483_c0_g1,71,69,56,60,33,105,125,740,89,73
TRINITY_DN19067_c0_g1,56,106,68,64,38,65,29,28,90,49
TRINITY_DN10225_c0_g3,40.49,56,47,45.88,32,40.89,57,9.86,58.65,34.82
TRINITY_DN13517_c0_g1,167,226.71,182,196,208,235,211,127,284,124
TRINITY_DN19235_c1_g1,99,77,58,62,28,113,43,24,87,88
TRINITY_DN9301_c0_g1,568,445,418,633,341,642,444,71,865,274
TRINITY_DN8753_c0_g1,76,61,63,43,35,88,69,51,85,50
TRINITY_DN10752_c0_g1,5092,142077.45,12814,28525.88,1159,4966,7892.82,438,64279.81,62
TRINITY_DN14844_c0_g2,50.6,41,53,47,38.8,34,82,197,73,33
TRINITY_DN23203_c3_g24,863.09,1190.75,511.79,365.04,228.31,1100.57,944,198.02,2352.97,1007.09
TRINITY_DN20862_c0_g1,175,238,100,235,95,204,166,85,235,185
TRINITY_DN18904_c0_g3,37,41,16,26,15,54,12,58,27,30
TRINITY_DN20790_c1_g3,133,156,227,177,117,170,167,277,127,189
TRINITY_DN15430_c0_g1,65,98,55,62,41,77,92,75,78,46
TRINITY_DN19687_c0_g1,126,159,208,187,128,124,266,735,226,78
TRINITY_DN23140_c1_g1,52,51,48,53,45,68,73,71,72,48
TRINITY_DN13620_c0_g2,49,86,39,71,39,49,39,11,111,56
TRINITY_DN22853_c1_g5,382,735,1377,671,1031,462,718,571,1966,316
TRINITY_DN14955_c0_g2,12752,12484,13976,13621,9351,13318,14757,5656,19707,8832
TRINITY_DN23613_c6_g7,245,647,286,407,286,278,217,14,355,221
TRINITY_DN22241_c8_g2,145,164.75,95,124,80.71,166,147,254.13,148.12,116
TRINITY_DN20938_c1_g54,184,146,130,258,139,207,237,100.45,181,199
TRINITY_DN22691_c1_g4,35,58,54,44,30,44,30,26,37,33
TRINITY_DN9204_c0_g1,389,314,370,702,395,551,697,495,615,472
TRINITY_DN20960_c2_g1,145,95.59,41,138,120,183,136,30,77,76
TRINITY_DN17861_c0_g1,81,66,45,76,68,74,57,70,85,42
TRINITY_DN22197_c1_g1,52,99,63,30,38,78,44,23,60,30
TRINITY_DN19139_c0_g8,52,106.95,174.18,65.76,61.54,61.36,43.16,195,63.95,63
TRINITY_DN21452_c4_g1,58.36,27,12,14,11.49,64.73,21,48,16,37
TRINITY_DN23324_c0_g13,130.5,24.41,87.06,40.17,82.13,149.99,384,315.92,354.74,87.87
TRINITY_DN15995_c0_g1,183,292,119,176,94,177,112,63,377,135
TRINITY_DN14922_c0_g1,35,54,39,44,17,41,60,58,96,24
TRINITY_DN23076_c2_g1,25,18,16,35,15,22,25,125,19,35
TRINITY_DN20646_c0_g1,76,53,58,39,28,75,95,369,95,59
TRINITY_DN13261_c0_g2,31,77,23,20,24,24,24,18,38,28
TRINITY_DN18514_c0_g1,131,190,148,171,77,143,143,42,324,131
TRINITY_DN20639_c0_g1,39,63,17,47,17,28,11,16,51,45
TRINITY_DN15952_c0_g1,95,101,91,95,60,96,88,77,84,38
TRINITY_DN20122_c0_g1,37,37,51,30,29,52,17,13,41,50
TRINITY_DN19910_c0_g2,35,57,32,43,26,45.59,42.65,17.11,56,21
TRINITY_DN23478_c1_g1,110,59,47,81,45,129,68,56,111,50
TRINITY_DN15369_c0_g1,43,18,29,25,13,39,23,12,18,35
TRINITY_DN20635_c1_g3,43.92,110.62,70.59,91.87,65.13,47.04,106.06,12,75.04,60.38
TRINITY_DN16822_c0_g1,20,28,12,21,11,27,26,14,29,22
TRINITY_DN15346_c0_g1,502,499,353,470,421,596,923,847,772,410
TRINITY_DN15843_c0_g4,1429,2540,1659,2011,1875,1603,2526,3596,1776,944
TRINITY_DN21810_c1_g1,114,127,121,154,70,114,112,149,138,119
TRINITY_DN20143_c2_g1,140,177,191,239,137,209,147,98,172,186
TRINITY_DN29011_c0_g1,117,145,112,128,110,136,137,29,154,141
TRINITY_DN21165_c2_g2,224,227,204,252,107,303,365,262,415,305
TRINITY_DN23575_c3_g52,25,44,22,40,14,26,27,18,42,12
TRINITY_DN23764_c11_g25,2550.09,8340.78,1164.73,1394.21,696.02,2532.85,911.73,93,4675.36,516.55
TRINITY_DN7999_c0_g1,38,73,41,50,29,71,43,30,86,31
TRINITY_DN22346_c0_g2,35,51,33,47,23,46,45,49,54,37
TRINITY_DN20095_c5_g3,59,28,47,23,20,56,25,14,42,34
TRINITY_DN15529_c0_g1,714,790,759,992,755,762,751,217,1157,522
TRINITY_DN22608_c4_g1,101,81,48,119,45,114,60,34,96,76
TRINITY_DN13203_c0_g1,76,98.59,82.68,83.86,36,74.89,76,21,109.95,48.42
TRINITY_DN23234_c0_g7,80,75,56,42,32,89,58,98,84,35
TRINITY_DN9897_c0_g1,49,50,44,69,31,53,54,47,122,35
TRINITY_DN22333_c1_g7,130,211,64.02,58,74,140.05,63,29,165,80
TRINITY_DN23120_c2_g1,28,55,15.46,18,23,39,21,43,29,58
TRINITY_DN19328_c0_g4,73,97,32,26,28,76,110,138,57,37
TRINITY_DN12078_c0_g1,140,148,37,204,56,143,105,136,174,121
TRINITY_DN17294_c0_g1,149,109,72,175,79,147,136,122,141,110
TRINITY_DN20353_c0_g4,1794,1040.99,667.98,1693,976,2296.99,2876,1553,2287.99,1320
TRINITY_DN13768_c0_g1,84,57,91,126,270,96,59,59,14,73
TRINITY_DN22241_c5_g1,66,65,71,93,47,50,105,12,87,62
TRINITY_DN18501_c0_g1,1441,2600,924,1995,511,1772,1661,433,2403,1573
TRINITY_DN20848_c0_g1,43,25,38,24,20,32,38,22,23,22
TRINITY_DN22922_c0_g4,94,64,23,43,12,91,17,11,55,48
TRINITY_DN21287_c3_g29,38.22,144.35,58.08,36.18,40.08,44.22,24.48,18.2,39.08,30.09
TRINITY_DN20075_c1_g5,129,162,77,389,142,154,200,113,134,210
TRINITY_DN12267_c0_g1,87,113,84,81,69,95,148,209,140,62
TRINITY_DN19837_c0_g1,162,123,125,215,101,182,169,55,240,232
TRINITY_DN22785_c0_g1,53.07,73.71,85.88,67.93,54,65.05,68.76,119,60.11,58
TRINITY_DN22395_c0_g4,69,82,61,164,61,67,135,205,104,60
TRINITY_DN18670_c0_g1,660,809,633,635,443,783,1269,2425,1587,404
TRINITY_DN15038_c0_g1,42,39,18,29,23,27,41,29,19,27
TRINITY_DN23783_c4_g1,117,128,71,125,115,99,169,25,102,107
TRINITY_DN31646_c0_g1,88,51,26,20,14,71,24,12,29,43
TRINITY_DN23106_c0_g5,3866,3862,4619,4541,2561,3740,4810,3430,6842,2007
TRINITY_DN13429_c0_g1,25,40,18,19,14,42,57,25,64,28
